date,region,category,channel,team,revenue,cost,profit,volume,conversion_rate,customer_acquisition,churn_rate,sla_breach,backlog,customer_satisfaction
2024-01-31,North,A,Online,Team1,132483.57076505615,94036.71813746824,38446.85262758791,820,0.09092130483097055,124,0.04755493351795203,30,149,3.685726863298523
2024-01-31,North,A,Online,Team2,129308.67849414407,90210.03633909959,39098.64215504448,1108,0.1478936896513396,87,0.02004672595046086,37,70,4.302725962516031
2024-01-31,North,A,Online,Team3,130111.10913305992,85870.6186591702,44240.49047388972,1275,0.14816288631890212,64,0.04736419905302215,24,111,3.7595759168058676
2024-01-31,North,A,Retail,Team1,127861.03543198327,86579.20342174228,41281.83201024099,1304,0.08325152889039984,100,0.06081845231526678,18,88,3.5172444495078263
2024-01-31,North,A,Retail,Team2,130475.62892158568,85828.49643779943,44647.13248378625,1145,0.08683704798044688,133,0.034461527961560705,37,120,4.292995655117407
2024-01-31,North,A,Retail,Team3,133323.27171374927,96656.60376943665,36666.66794431262,834,0.14365242814551474,99,0.05975133706123892,11,55,3.7703241617286456
2024-01-31,North,B,Online,Team1,97692.67140912908,70958.36030309067,26734.31110603841,1355,0.14576492590949325,63,0.06363631975138526,24,121,4.241577166727019
2024-01-31,North,B,Online,Team2,100333.28639254312,68038.52378165875,32294.76261088437,1095,0.1391173694074706,131,0.05238152794334479,33,75,4.75483189944338
2024-01-31,North,B,Online,Team3,92450.21358891696,59578.71048581212,32871.50310310484,864,0.08109454847188358,58,0.06633468615779944,21,57,3.507178752260683
2024-01-31,North,B,Retail,Team1,103607.51231179322,74837.69688533994,28769.81542645328,1392,0.1297939366924055,82,0.056357598486860686,19,90,4.689447578206915
2024-01-31,North,B,Retail,Team2,99158.97455950457,60914.50013277155,38244.47442673302,1302,0.10176876252009635,86,0.06377637070028384,17,135,4.653376565349224
2024-01-31,North,B,Retail,Team3,105823.84322752262,70990.04566801875,34833.79755950387,1412,0.14801984667723728,180,0.06564710291701384,35,63,4.141934275273708
2024-01-31,North,C,Online,Team1,86901.27447955128,52472.107864263635,34429.16661528765,1260,0.09412034416347774,145,0.05818462467582683,29,145,4.404170912353965
2024-01-31,North,C,Online,Team2,104109.51252187612,64641.56698269963,39467.94553917649,1030,0.10872680461249408,78,0.03372788992949735,16,108,4.403220412951616
2024-01-31,North,C,Online,Team3,101465.29622822786,65378.6616632217,36086.63456500616,1445,0.11195741993380372,157,0.03119420353316215,39,111,4.201144914490346
2024-01-31,North,C,Retail,Team1,104483.15191855474,75344.47501070506,29138.676907849673,1147,0.10494084866538825,178,0.0336761097525165,39,126,4.618949758233247
2024-01-31,North,C,Retail,Team2,100025.56728321231,66278.10622695909,33747.46105625322,1476,0.12847052230231892,108,0.03939217592124532,33,101,3.972718483093082
2024-01-31,North,C,Retail,Team3,98827.06433312426,73701.99416090084,25125.070172223423,1363,0.09728132439870209,88,0.04983491035354312,26,105,3.5479530315608927
2024-01-31,South,A,Online,Team1,130301.15104970513,79186.85171119434,51114.2993385108,1024,0.12440459412909546,175,0.028693692325473384,21,139,4.781345590343781
2024-01-31,South,A,Online,Team2,142316.21056242642,90556.98468568224,51759.22587674418,1238,0.13331337307301022,172,0.03452959629664555,15,73,4.11139082477985
2024-01-31,South,A,Online,Team3,129772.98672356582,93756.41243073875,36016.57429282706,943,0.13847117469124665,173,0.05049192660444312,25,142,4.615866446257836
2024-01-31,South,A,Retail,Team1,131084.68363081172,85060.04317324226,46024.64045756946,1202,0.12978046727066125,196,0.04091995923750376,16,101,4.722680243836485
2024-01-31,South,A,Retail,Team2,132140.06420494715,95888.29859992741,36251.76560501974,1272,0.09463501345163997,91,0.035476497662909334,37,65,4.5623888602615805
2024-01-31,South,A,Retail,Team3,117651.50567466201,80388.93512026787,37262.570554394144,1371,0.09825804223812863,178,0.025586166068353955,21,118,4.670543474312329
2024-01-31,South,B,Online,Team1,92799.792761581,60540.86208011082,32258.930681470185,1007,0.1427977181966804,103,0.06679253275145743,33,124,4.716325492487232
2024-01-31,South,B,Online,Team2,105953.6362805682,76053.63642401162,29899.999856556577,903,0.12245003417617129,161,0.026088292571961928,12,74,3.5065800590000844
2024-01-31,South,B,Online,Team3,100874.16505995736,70993.6515924111,29880.51346754626,1480,0.09231476768741417,117,0.034234945249808,30,97,4.470438826653432
2024-01-31,South,B,Retail,Team1,93915.7255382038,65501.047080048156,28414.678458155642,934,0.13046579469764905,177,0.0540985162001283,21,108,3.9780305439772636
2024-01-31,South,B,Retail,Team2,95552.42785187239,71277.48483593744,24274.943015934943,1164,0.11407195070716186,57,0.05786831755983578,11,70,4.15342822103675
2024-01-31,South,B,Retail,Team3,95920.9485751728,65853.14432261305,30067.804252559756,1280,0.09366700914586312,110,0.04995160279308514,13,84,4.499120218598201
2024-01-31,South,C,Online,Team1,91083.74468917238,66721.0384072799,24362.706281892475,836,0.14498229938114077,95,0.07799928914262018,12,109,4.6089122921075685
2024-01-31,South,C,Online,Team2,98784.32769796492,63633.63699545465,35150.69070251027,960,0.10218454036093944,177,0.042361212025642955,19,144,4.597477082944205
2024-01-31,South,C,Online,Team3,103175.5627545099,67455.87517625473,35719.687578255165,1438,0.11628307566546156,179,0.03935304585431603,17,82,3.6776077308746373
2024-01-31,South,C,Retail,Team1,94598.99564979758,66818.73763679764,27780.25801299994,838,0.10055142909851453,75,0.06860680368075084,34,73,4.687212718323412
2024-01-31,South,C,Retail,Team2,102575.23843153023,73827.94080710685,28747.297624423387,1120,0.08496586418999494,193,0.023046111862363817,28,136,3.535901803435816
2024-01-31,South,C,Retail,Team3,119263.6574532736,81913.82616339493,37349.83128987867,850,0.1125918612692722,112,0.07891045329863186,31,107,4.618526003805178
2024-01-31,East,A,Online,Team1,131772.09792559833,85519.78666857892,46252.311257019406,1063,0.13389954871690274,157,0.057373428549140015,13,55,3.56718623751919
